SupplierCode|ProductCode|SupplierPartNumber|ProductName|Description|UnitPrice|Currency|UOM|LeadTimeDays|MinOrderQty|PackSize|EffectiveDate|ExpirationDate|Status
SUP049|PROD000013|SP-PRI-CYA-5889|Circuit Board|High quality circuit board compatible with multiple printer models|185.03|EUR|KG|55|5|50|2025-08-20|2025-12-31|Discontinued
SUP001|PROD000014|SP-MOT-PHO-9005|Cyan Ink Cartridge|High quality cyan ink cartridge compatible with multiple printer models|279.14|CAD|SET|10|5|50|2025-08-20|2025-12-31|Active
SUP006|PROD000015|SP-MEM-CYA-9727|Print Head|High quality print head compatible with multiple printer models|43.74|GBP|LT|17|10|50|2025-08-20|2025-12-31|Discontinued
SUP028|PROD000016|SP-DRU-YEL-6107|Paper Tray|High quality paper tray compatible with multiple printer models|298.56|CAD|LB|40|25|1|2025-08-20|2025-12-31|Active
SUP015|PROD000017|SP-TON-PHO-1344|Motor|High quality motor compatible with multiple printer models|168.84|EUR|EA|11|100|1|2025-08-20|2025-12-31|Active
SUP005|PROD000018|SP-INK-PHO-2160|Circuit Board|High quality circuit board compatible with multiple printer models|75.96|GBP|SET|41|5|50|2025-08-20|2025-12-31|Discontinued
SUP031|PROD000019|SP-DRU-LIG-7669|Drum Unit|High quality drum unit compatible with multiple printer models|33.72|GBP|KG|34|25|25|2025-08-20|2025-12-31|Discontinued
SUP004|PROD000020|SP-TON-BLA-7596|Transfer Belt|High quality transfer belt compatible with multiple printer models|241.36|USD|SET|19|5|50|2025-08-20|2025-12-31|Inactive
SUP009|PROD000021|SP-PAP-MAG-5563|Memory|High quality memory compatible with multiple printer models|79.43|USD|LB|58|50|1|2025-08-20|2025-12-31|Active
SUP042|PROD000022|SP-CIR-BLA-2528|Drum Unit|High quality drum unit compatible with multiple printer models|54.89|GBP|LB|20|25|1|2025-08-20|2025-12-31|Active
SUP025|PROD000023|SP-INK-LIG-5345|Memory|High quality memory compatible with multiple printer models|89.85|GBP|SET|19|10|5|2025-08-20|2025-12-31|Active
SUP038|PROD000024|SP-CIR-BLA-6138|Black Ink Cartridge|High quality black ink cartridge compatible with multiple printer models|177.74|EUR|EA|39|1|5|2025-08-20|2025-12-31|Active
SUP039|PROD000025|SP-TON-YEL-7615|Yellow Toner Cartridge|High quality yellow toner cartridge compatible with multiple printer models|176.19|USD|LT|12|25|50|2025-08-20|2025-12-31|Discontinued
SUP034|PROD000026|SP-TRA-TRI-4346|Transfer Belt|High quality transfer belt compatible with multiple printer models|76.16|GBP|SET|49|100|10|2025-08-20|2025-12-31|Inactive
SUP021|PROD000027|SP-TON-BLA-8508|Motor|High quality motor compatible with multiple printer models|299.54|USD|EA|41|5|50|2025-08-20|2025-12-31|Inactive
SUP009|PROD000028|SP-TRA-CYA-5002|Transfer Belt|High quality transfer belt compatible with multiple printer models|89.78|GBP|LT|52|10|50|2025-08-20|2025-12-31|Discontinued
SUP034|PROD000029|SP-INK-TRI-2697|Print Head|High quality print head compatible with multiple printer models|83.74|USD|GAL|42|5|10|2025-08-20|2025-12-31|Inactive
SUP039|PROD000030|SP-DRU-PHO-4335|Fuser|High quality fuser compatible with multiple printer models|154.58|CAD|EA|12|100|25|2025-08-20|2025-12-31|Inactive
SUP003|PROD000031|SP-INK-PHO-3143|Fuser|High quality fuser compatible with multiple printer models|53.5|GBP|LT|52|25|50|2025-08-20|2025-12-31|Active
SUP008|PROD000032|SP-TON-MAG-9938|Photo Black Ink Cartridge|High quality photo black ink cartridge compatible with multiple printer models|177.25|EUR|LB|15|1|10|2025-08-20|2025-12-31|Inactive
SUP003|PROD000033|SP-TRA-YEL-5088|Photo Black Toner Cartridge|High quality photo black toner cartridge compatible with multiple printer models|235.34|GBP|LT|54|5|5|2025-08-20|2025-12-31|Active
SUP012|PROD000034|SP-PAP-BLA-3938|Transfer Belt|High quality transfer belt compatible with multiple printer models|236.01|GBP|GAL|54|5|10|2025-08-20|2025-12-31|Active
SUP045|PROD000035|SP-TON-LIG-1634|Memory|High quality memory compatible with multiple printer models|71.39|GBP|KG|26|5|5|2025-08-20|2025-12-31|Active
SUP043|PROD000036|SP-DRU-LIG-6378|Fuser|High quality fuser compatible with multiple printer models|260.11|CAD|KG|48|50|25|2025-08-20|2025-12-31|Discontinued
SUP035|PROD000037|SP-TRA-BLA-2889|Fuser|High quality fuser compatible with multiple printer models|58.49|CAD|EA|13|50|25|2025-08-20|2025-12-31|Inactive
SUP047|PROD000038|SP-TRA-LIG-9379|Light Cyan Toner Cartridge|High quality light cyan toner cartridge compatible with multiple printer models|270.44|EUR|KG|9|100|25|2025-08-20|2025-12-31|Active
SUP034|PROD000039|SP-CIR-YEL-6967|Paper Tray|High quality paper tray compatible with multiple printer models|26.56|CAD|LT|27|100|1|2025-08-20|2025-12-31|Discontinued
SUP020|PROD000040|SP-CIR-TRI-7691|Transfer Belt|High quality transfer belt compatible with multiple printer models|124.3|CAD|LT|15|5|25|2025-08-20|2025-12-31|Discontinued
SUP025|PROD000041|SP-PRI-TRI-7653|Circuit Board|High quality circuit board compatible with multiple printer models|251.11|CAD|KG|20|25|50|2025-08-20|2025-12-31|Discontinued
SUP042|PROD000042|SP-TRA-LIG-8238|Memory|High quality memory compatible with multiple printer models|204.62|GBP|GAL|17|100|1|2025-08-20|2025-12-31|Inactive
SUP033|PROD000043|SP-MOT-PHO-2530|Drum Unit|High quality drum unit compatible with multiple printer models|203.79|EUR|SET|16|1|1|2025-08-20|2025-12-31|Active
SUP031|PROD000044|SP-MOT-CYA-8461|Paper Tray|High quality paper tray compatible with multiple printer models|266.51|EUR|GAL|51|25|25|2025-08-20|2025-12-31|Inactive
SUP016|PROD000045|SP-PRI-BLA-2746|Paper Tray|High quality paper tray compatible with multiple printer models|70.33|GBP|EA|42|5|1|2025-08-20|2025-12-31|Inactive
SUP009|PROD000046|SP-MEM-PHO-8251|Motor|High quality motor compatible with multiple printer models|245.6|GBP|LT|35|5|25|2025-08-20|2025-12-31|Inactive
SUP017|PROD000047|SP-DRU-TRI-9540|Memory|High quality memory compatible with multiple printer models|190.25|CAD|LB|11|100|10|2025-08-20|2025-12-31|Active
SUP018|PROD000048|SP-TRA-PHO-9849|Magenta Toner Cartridge|High quality magenta toner cartridge compatible with multiple printer models|50.33|GBP|GAL|16|100|5|2025-08-20|2025-12-31|Active
SUP027|PROD000049|SP-PAP-PHO-9890|Memory|High quality memory compatible with multiple printer models|128.23|EUR|LB|31|50|1|2025-08-20|2025-12-31|Discontinued
SUP025|PROD000050|SP-MEM-BLA-6763|Fuser|High quality fuser compatible with multiple printer models|227.51|GBP|LT|54|100|50|2025-08-20|2025-12-31|Discontinued
SUP015|PROD000051|SP-MEM-YEL-5471|Paper Tray|High quality paper tray compatible with multiple printer models|148.77|GBP|KG|49|100|25|2025-08-20|2025-12-31|Discontinued
SUP011|PROD000052|SP-MEM-MAG-9751|Light Cyan Ink Cartridge|High quality light cyan ink cartridge compatible with multiple printer models|180.01|USD|EA|48|25|5|2025-08-20|2025-12-31|Inactive
SUP012|PROD000053|SP-INK-TRI-7211|Transfer Belt|High quality transfer belt compatible with multiple printer models|68.22|CAD|KG|55|25|10|2025-08-20|2025-12-31|Inactive
SUP017|PROD000054|SP-TON-LIG-1317|Circuit Board|High quality circuit board compatible with multiple printer models|21.3|CAD|SET|48|1|1|2025-08-20|2025-12-31|Active
SUP016|PROD000055|SP-DRU-BLA-3496|Drum Unit|High quality drum unit compatible with multiple printer models|43.1|USD|LT|20|25|10|2025-08-20|2025-12-31|Inactive
SUP011|PROD000056|SP-MOT-CYA-3683|Fuser|High quality fuser compatible with multiple printer models|37.77|USD|KG|43|100|25|2025-08-20|2025-12-31|Inactive
SUP046|PROD000057|SP-DRU-CYA-4978|Tri-Color Toner Cartridge|High quality tri-color toner cartridge compatible with multiple printer models|255.98|USD|LT|57|1|10|2025-08-20|2025-12-31|Discontinued
SUP028|PROD000058|SP-TRA-CYA-9289|Transfer Belt|High quality transfer belt compatible with multiple printer models|9.71|GBP|LB|13|25|10|2025-08-20|2025-12-31|Discontinued
SUP030|PROD000059|SP-PRI-LIG-3885|Circuit Board|High quality circuit board compatible with multiple printer models|289.84|CAD|LT|58|50|25|2025-08-20|2025-12-31|Inactive
SUP028|PROD000060|SP-MOT-TRI-6280|Drum Unit|High quality drum unit compatible with multiple printer models|250.22|USD|KG|35|5|25|2025-08-20|2025-12-31|Discontinued
SUP040|PROD000061|SP-PAP-PHO-1470|Memory|High quality memory compatible with multiple printer models|256.17|EUR|LB|20|10|10|2025-08-20|2025-12-31|Inactive
SUP018|PROD000062|SP-MOT-TRI-1166|Circuit Board|High quality circuit board compatible with multiple printer models|284.72|USD|SET|53|25|25|2025-08-20|2025-12-31|Discontinued
SUP049|PROD000063|SP-DRU-LIG-9041|Memory|High quality memory compatible with multiple printer models|239.11|USD|KG|21|25|5|2025-08-20|2025-12-31|Inactive
SUP043|PROD000064|SP-MOT-PHO-8753|Circuit Board|High quality circuit board compatible with multiple printer models|162.08|GBP|GAL|42|10|10|2025-08-20|2025-12-31|Discontinued
SUP030|PROD000065|SP-FUS-TRI-5118|Drum Unit|High quality drum unit compatible with multiple printer models|41.46|EUR|KG|14|100|50|2025-08-20|2025-12-31|Discontinued
SUP012|PROD000066|SP-DRU-YEL-8933|Fuser|High quality fuser compatible with multiple printer models|219.02|CAD|EA|60|5|10|2025-08-20|2025-12-31|Active
SUP024|PROD000067|SP-PRI-TRI-1231|Circuit Board|High quality circuit board compatible with multiple printer models|43.21|USD|EA|42|10|5|2025-08-20|2025-12-31|Discontinued
SUP049|PROD000068|SP-MEM-CYA-1200|Motor|High quality motor compatible with multiple printer models|89.59|GBP|LB|28|5|1|2025-08-20|2025-12-31|Inactive
SUP031|PROD000069|SP-TON-CYA-7565|Memory|High quality memory compatible with multiple printer models|27.77|USD|SET|16|50|10|2025-08-20|2025-12-31|Active
SUP016|PROD000070|SP-TON-LIG-4697|Circuit Board|High quality circuit board compatible with multiple printer models|117.82|GBP|KG|44|25|10|2025-08-20|2025-12-31|Discontinued
SUP040|PROD000071|SP-INK-CYA-4404|Drum Unit|High quality drum unit compatible with multiple printer models|83.8|USD|SET|22|5|50|2025-08-20|2025-12-31|Active
SUP011|PROD000072|SP-INK-LIG-8381|Motor|High quality motor compatible with multiple printer models|144.14|USD|SET|25|100|10|2025-08-20|2025-12-31|Discontinued
SUP030|PROD000073|SP-TON-YEL-5334|Motor|High quality motor compatible with multiple printer models|200.38|EUR|LB|14|50|5|2025-08-20|2025-12-31|Discontinued
SUP010|PROD000074|SP-FUS-MAG-2169|Magenta Ink Cartridge|High quality magenta ink cartridge compatible with multiple printer models|239.02|CAD|LB|14|25|10|2025-08-20|2025-12-31|Discontinued
SUP026|PROD000075|SP-FUS-LIG-8172|Black Toner Cartridge|High quality black toner cartridge compatible with multiple printer models|267.48|CAD|LT|23|1|1|2025-08-20|2025-12-31|Active
SUP044|PROD000076|SP-MOT-BLA-5415|Motor|High quality motor compatible with multiple printer models|17.82|EUR|LB|40|100|25|2025-08-20|2025-12-31|Inactive
SUP012|PROD000077|SP-MOT-LIG-9056|Light Magenta Toner Cartridge|High quality light magenta toner cartridge compatible with multiple printer models|108.29|CAD|KG|49|1|5|2025-08-20|2025-12-31|Inactive
SUP027|PROD000078|SP-MEM-TRI-7561|Circuit Board|High quality circuit board compatible with multiple printer models|16.78|USD|KG|23|10|1|2025-08-20|2025-12-31|Inactive
SUP033|PROD000079|SP-INK-LIG-7770|Yellow Ink Cartridge|High quality yellow ink cartridge compatible with multiple printer models|158.41|GBP|GAL|35|1|5|2025-08-20|2025-12-31|Inactive
SUP036|PROD000080|SP-PRI-TRI-8178|Memory|High quality memory compatible with multiple printer models|41.69|EUR|GAL|17|10|50|2025-08-20|2025-12-31|Active
SUP036|PROD000081|SP-PAP-CYA-4681|Light Magenta Toner Cartridge|High quality light magenta toner cartridge compatible with multiple printer models|284.43|EUR|LB|52|10|50|2025-08-20|2025-12-31|Discontinued
SUP018|PROD000082|SP-PAP-LIG-8736|Drum Unit|High quality drum unit compatible with multiple printer models|140.29|EUR|LB|19|50|50|2025-08-20|2025-12-31|Discontinued
SUP009|PROD000083|SP-TON-TRI-7798|Transfer Belt|High quality transfer belt compatible with multiple printer models|280.66|CAD|EA|25|100|10|2025-08-20|2025-12-31|Discontinued
SUP038|PROD000084|SP-MEM-MAG-8316|Circuit Board|High quality circuit board compatible with multiple printer models|148.39|CAD|LT|55|50|25|2025-08-20|2025-12-31|Inactive
SUP021|PROD000085|SP-DRU-YEL-7274|Drum Unit|High quality drum unit compatible with multiple printer models|257.66|GBP|EA|27|100|25|2025-08-20|2025-12-31|Discontinued
SUP025|PROD000086|SP-PAP-MAG-9115|Magenta Ink Cartridge|High quality magenta ink cartridge compatible with multiple printer models|153.66|CAD|EA|35|1|50|2025-08-20|2025-12-31|Inactive
SUP001|PROD000087|SP-PRI-LIG-3529|Light Magenta Toner Cartridge|High quality light magenta toner cartridge compatible with multiple printer models|235.76|CAD|KG|46|100|25|2025-08-20|2025-12-31|Discontinued
SUP006|PROD000088|SP-TRA-LIG-6188|Memory|High quality memory compatible with multiple printer models|262.47|USD|LT|11|5|10|2025-08-20|2025-12-31|Active
SUP048|PROD000089|SP-TON-LIG-2612|Light Magenta Toner Cartridge|High quality light magenta toner cartridge compatible with multiple printer models|54.9|CAD|EA|9|10|1|2025-08-20|2025-12-31|Inactive
SUP023|PROD000090|SP-TRA-LIG-3385|Drum Unit|High quality drum unit compatible with multiple printer models|162.15|EUR|SET|18|1|50|2025-08-20|2025-12-31|Inactive
SUP040|PROD000091|SP-DRU-LIG-3344|Drum Unit|High quality drum unit compatible with multiple printer models|141.57|CAD|LB|23|100|1|2025-08-20|2025-12-31|Inactive
SUP019|PROD000092|SP-CIR-MAG-2210|Memory|High quality memory compatible with multiple printer models|283.89|CAD|GAL|34|100|10|2025-08-20|2025-12-31|Inactive
SUP020|PROD000093|SP-DRU-LIG-8916|Yellow Toner Cartridge|High quality yellow toner cartridge compatible with multiple printer models|118.11|CAD|LT|25|100|10|2025-08-20|2025-12-31|Active
SUP043|PROD000094|SP-PAP-TRI-1132|Motor|High quality motor compatible with multiple printer models|260.32|USD|LT|54|25|10|2025-08-20|2025-12-31|Active
SUP039|PROD000095|SP-TRA-YEL-4115|Motor|High quality motor compatible with multiple printer models|79.67|EUR|GAL|13|100|1|2025-08-20|2025-12-31|Inactive
SUP029|PROD000096|SP-INK-PHO-3153|Tri-Color Toner Cartridge|High quality tri-color toner cartridge compatible with multiple printer models|102.05|GBP|SET|19|5|50|2025-08-20|2025-12-31|Inactive
SUP034|PROD000097|SP-CIR-TRI-3695|Fuser|High quality fuser compatible with multiple printer models|274.72|GBP|KG|54|10|1|2025-08-20|2025-12-31|Inactive
SUP005|PROD000098|SP-PRI-YEL-7511|Circuit Board|High quality circuit board compatible with multiple printer models|113.53|GBP|EA|23|50|1|2025-08-20|2025-12-31|Inactive
SUP024|PROD000099|SP-FUS-LIG-7086|Yellow Toner Cartridge|High quality yellow toner cartridge compatible with multiple printer models|144.6|CAD|LT|21|100|1|2025-08-20|2025-12-31|Discontinued
SUP030|PROD000100|SP-FUS-LIG-2911|Print Head|High quality print head compatible with multiple printer models|19.32|USD|KG|38|1|1|2025-08-20|2025-12-31|Active
SUP035|PROD000101|SP-PRI-LIG-8432|Transfer Belt|High quality transfer belt compatible with multiple printer models|203.11|GBP|LT|54|100|5|2025-08-20|2025-12-31|Inactive
SUP042|PROD000102|SP-TON-LIG-7686|Fuser|High quality fuser compatible with multiple printer models|15.61|CAD|SET|35|25|5|2025-08-20|2025-12-31|Inactive
SUP007|PROD000103|SP-TRA-PHO-1992|Paper Tray|High quality paper tray compatible with multiple printer models|87.1|USD|LB|12|100|5|2025-08-20|2025-12-31|Discontinued
SUP041|PROD000104|SP-MOT-BLA-1828|Transfer Belt|High quality transfer belt compatible with multiple printer models|77.6|EUR|LT|20|1|50|2025-08-20|2025-12-31|Active
SUP038|PROD000105|SP-DRU-YEL-6383|Print Head|High quality print head compatible with multiple printer models|237.85|USD|KG|16|5|50|2025-08-20|2025-12-31|Inactive
SUP012|PROD000106|SP-TON-BLA-3159|Photo Black Ink Cartridge|High quality photo black ink cartridge compatible with multiple printer models|238.25|EUR|LT|27|1|5|2025-08-20|2025-12-31|Inactive
SUP004|PROD000107|SP-PRI-LIG-9619|Cyan Toner Cartridge|High quality cyan toner cartridge compatible with multiple printer models|146.01|CAD|LT|44|1|25|2025-08-20|2025-12-31|Discontinued
SUP015|PROD000108|SP-MOT-BLA-9543|Fuser|High quality fuser compatible with multiple printer models|140.65|USD|EA|37|25|25|2025-08-20|2025-12-31|Discontinued
SUP007|PROD000109|SP-MEM-LIG-2204|Photo Black Toner Cartridge|High quality photo black toner cartridge compatible with multiple printer models|184.83|USD|SET|24|50|50|2025-08-20|2025-12-31|Discontinued
SUP046|PROD000110|SP-TRA-LIG-9692|Fuser|High quality fuser compatible with multiple printer models|139.38|GBP|EA|57|100|1|2025-08-20|2025-12-31|Discontinued
SUP042|PROD000111|SP-CIR-YEL-8046|Memory|High quality memory compatible with multiple printer models|267.09|GBP|KG|59|25|25|2025-08-20|2025-12-31|Inactive
SUP047|PROD000112|SP-TON-PHO-7992|Transfer Belt|High quality transfer belt compatible with multiple printer models|201.53|CAD|SET|50|25|1|2025-08-20|2025-12-31|Active
SUP006|PROD000113|SP-TON-LIG-2582|Transfer Belt|High quality transfer belt compatible with multiple printer models|244.65|USD|LT|42|50|10|2025-08-20|2025-12-31|Discontinued
SUP008|PROD000114|SP-PAP-PHO-7929|Tri-Color Ink Cartridge|High quality tri-color ink cartridge compatible with multiple printer models|182.51|CAD|EA|43|50|5|2025-08-20|2025-12-31|Active
SUP043|PROD000115|SP-MEM-YEL-2773|Transfer Belt|High quality transfer belt compatible with multiple printer models|254.53|CAD|EA|55|10|50|2025-08-20|2025-12-31|Active
SUP028|PROD000116|SP-CIR-BLA-5381|Magenta Ink Cartridge|High quality magenta ink cartridge compatible with multiple printer models|86.33|CAD|KG|29|1|5|2025-08-20|2025-12-31|Active
SUP037|PROD000117|SP-PAP-CYA-3324|Cyan Ink Cartridge|High quality cyan ink cartridge compatible with multiple printer models|225.35|EUR|LB|33|25|10|2025-08-20|2025-12-31|Active
SUP024|PROD000118|SP-FUS-PHO-2391|Magenta Ink Cartridge|High quality magenta ink cartridge compatible with multiple printer models|52.27|USD|GAL|12|10|25|2025-08-20|2025-12-31|Discontinued
SUP028|PROD000119|SP-MEM-LIG-7785|Fuser|High quality fuser compatible with multiple printer models|69.37|USD|KG|34|1|10|2025-08-20|2025-12-31|Discontinued
SUP044|PROD000120|SP-MOT-LIG-9633|Fuser|High quality fuser compatible with multiple printer models|19.34|GBP|LT|10|1|5|2025-08-20|2025-12-31|Inactive
SUP014|PROD000121|SP-PRI-TRI-5742|Transfer Belt|High quality transfer belt compatible with multiple printer models|41.27|GBP|GAL|34|5|5|2025-08-20|2025-12-31|Inactive
SUP035|PROD000122|SP-DRU-PHO-2180|Paper Tray|High quality paper tray compatible with multiple printer models|259.35|USD|LB|8|25|1|2025-08-20|2025-12-31|Inactive
SUP037|PROD000123|SP-PAP-LIG-7843|Fuser|High quality fuser compatible with multiple printer models|39.85|USD|KG|17|50|25|2025-08-20|2025-12-31|Discontinued
SUP024|PROD000124|SP-TON-LIG-2734|Drum Unit|High quality drum unit compatible with multiple printer models|134.08|GBP|LT|12|25|10|2025-08-20|2025-12-31|Discontinued
SUP022|PROD000125|SP-DRU-PHO-3754|Cyan Toner Cartridge|High quality cyan toner cartridge compatible with multiple printer models|161.99|EUR|KG|29|100|5|2025-08-20|2025-12-31|Active
SUP007|PROD000126|SP-PRI-TRI-4232|Print Head|High quality print head compatible with multiple printer models|183.1|USD|SET|56|100|25|2025-08-20|2025-12-31|Inactive
SUP049|PROD000127|SP-MOT-LIG-6295|Transfer Belt|High quality transfer belt compatible with multiple printer models|50.37|USD|LB|35|100|10|2025-08-20|2025-12-31|Inactive
SUP038|PROD000128|SP-INK-PHO-9312|Tri-Color Toner Cartridge|High quality tri-color toner cartridge compatible with multiple printer models|141.74|USD|EA|30|10|1|2025-08-20|2025-12-31|Discontinued
SUP006|PROD000129|SP-MOT-LIG-8581|Motor|High quality motor compatible with multiple printer models|168.96|USD|LB|58|50|5|2025-08-20|2025-12-31|Inactive
SUP039|PROD000130|SP-MEM-MAG-2013|Memory|High quality memory compatible with multiple printer models|36.42|CAD|GAL|12|50|5|2025-08-20|2025-12-31|Active
SUP016|PROD000131|SP-MEM-LIG-9586|Circuit Board|High quality circuit board compatible with multiple printer models|185.27|CAD|KG|25|25|25|2025-08-20|2025-12-31|Inactive
SUP044|PROD000132|SP-MOT-BLA-6482|Photo Black Toner Cartridge|High quality photo black toner cartridge compatible with multiple printer models|33.77|GBP|KG|23|100|50|2025-08-20|2025-12-31|Active
SUP022|PROD000133|SP-TON-MAG-6731|Fuser|High quality fuser compatible with multiple printer models|290.49|GBP|SET|45|100|1|2025-08-20|2025-12-31|Inactive
SUP036|PROD000134|SP-PAP-PHO-3093|Circuit Board|High quality circuit board compatible with multiple printer models|33.47|GBP|LT|30|1|10|2025-08-20|2025-12-31|Inactive
SUP012|PROD000135|SP-DRU-PHO-8967|Drum Unit|High quality drum unit compatible with multiple printer models|72.59|EUR|SET|11|10|1|2025-08-20|2025-12-31|Discontinued
SUP050|PROD000136|SP-CIR-BLA-6517|Motor|High quality motor compatible with multiple printer models|44.52|GBP|SET|17|5|50|2025-08-20|2025-12-31|Active
SUP047|PROD000137|SP-MEM-BLA-7731|Transfer Belt|High quality transfer belt compatible with multiple printer models|204.84|EUR|LB|46|10|25|2025-08-20|2025-12-31|Active
SUP035|PROD000138|SP-DRU-TRI-8684|Drum Unit|High quality drum unit compatible with multiple printer models|114.14|GBP|LB|56|10|25|2025-08-20|2025-12-31|Discontinued
SUP034|PROD000139|SP-PAP-MAG-4271|Motor|High quality motor compatible with multiple printer models|46.68|CAD|EA|48|25|10|2025-08-20|2025-12-31|Discontinued
SUP007|PROD000140|SP-CIR-CYA-5670|Magenta Toner Cartridge|High quality magenta toner cartridge compatible with multiple printer models|86.19|EUR|LB|12|5|25|2025-08-20|2025-12-31|Inactive
SUP002|PROD000141|SP-PAP-BLA-7495|Circuit Board|High quality circuit board compatible with multiple printer models|115.93|GBP|EA|30|5|1|2025-08-20|2025-12-31|Inactive
SUP007|PROD000142|SP-TRA-MAG-3254|Tri-Color Ink Cartridge|High quality tri-color ink cartridge compatible with multiple printer models|275.7|GBP|GAL|60|5|25|2025-08-20|2025-12-31|Inactive
SUP040|PROD000143|SP-INK-CYA-1311|Fuser|High quality fuser compatible with multiple printer models|69.39|EUR|LT|53|50|50|2025-08-20|2025-12-31|Inactive
SUP008|PROD000144|SP-FUS-YEL-5934|Black Toner Cartridge|High quality black toner cartridge compatible with multiple printer models|76.09|GBP|EA|14|25|50|2025-08-20|2025-12-31|Discontinued
SUP002|PROD000145|SP-CIR-YEL-3352|Fuser|High quality fuser compatible with multiple printer models|132.19|CAD|SET|43|25|5|2025-08-20|2025-12-31|Discontinued
SUP043|PROD000146|SP-TON-PHO-2108|Circuit Board|High quality circuit board compatible with multiple printer models|165.95|USD|LB|37|1|25|2025-08-20|2025-12-31|Inactive
SUP017|PROD000147|SP-INK-PHO-2106|Transfer Belt|High quality transfer belt compatible with multiple printer models|76.88|USD|LT|54|10|5|2025-08-20|2025-12-31|Active
SUP023|PROD000148|SP-CIR-PHO-3868|Memory|High quality memory compatible with multiple printer models|294.35|GBP|GAL|18|5|1|2025-08-20|2025-12-31|Discontinued
SUP050|PROD000149|SP-MEM-BLA-5807|Drum Unit|High quality drum unit compatible with multiple printer models|18.87|EUR|EA|27|10|50|2025-08-20|2025-12-31|Inactive
SUP035|PROD000150|SP-MEM-TRI-1599|Drum Unit|High quality drum unit compatible with multiple printer models|90.11|USD|GAL|28|10|1|2025-08-20|2025-12-31|Inactive
SUP028|PROD000151|SP-PAP-LIG-7334|Transfer Belt|High quality transfer belt compatible with multiple printer models|292.26|GBP|GAL|38|10|50|2025-08-20|2025-12-31|Inactive
SUP006|PROD000152|SP-PAP-CYA-8055|Motor|High quality motor compatible with multiple printer models|298.55|EUR|LT|25|10|1|2025-08-20|2025-12-31|Active
SUP021|PROD000153|SP-FUS-TRI-8305|Motor|High quality motor compatible with multiple printer models|216.98|EUR|GAL|35|10|25|2025-08-20|2025-12-31|Active
SUP047|PROD000154|SP-TRA-LIG-5498|Cyan Ink Cartridge|High quality cyan ink cartridge compatible with multiple printer models|203.32|GBP|KG|39|100|5|2025-08-20|2025-12-31|Active
SUP010|PROD000155|SP-MOT-LIG-1570|Print Head|High quality print head compatible with multiple printer models|25.76|CAD|KG|31|50|1|2025-08-20|2025-12-31|Discontinued
SUP010|PROD000156|SP-MEM-PHO-7095|Memory|High quality memory compatible with multiple printer models|230.34|EUR|LT|30|25|10|2025-08-20|2025-12-31|Discontinued
SUP018|PROD000157|SP-DRU-CYA-1424|Print Head|High quality print head compatible with multiple printer models|152.71|GBP|LT|14|10|10|2025-08-20|2025-12-31|Discontinued
SUP029|PROD000158|SP-DRU-TRI-9047|Drum Unit|High quality drum unit compatible with multiple printer models|42.05|USD|LB|18|100|25|2025-08-20|2025-12-31|Active
SUP044|PROD000159|SP-TRA-PHO-2063|Circuit Board|High quality circuit board compatible with multiple printer models|165.39|CAD|SET|52|100|5|2025-08-20|2025-12-31|Inactive
